model,MAE_1kHz,MAE_2kHz,MAE_4kHz,MAE_avg
"Asymmetric (3×7, 3×5, 3×3)",0.429,0.354,0.317,0.367
"Symmetric (3×3, 3×3, 3×3)",0.453,0.364,0.312,0.377
