subset,n_samples,mean_T30_1kHz,mean_T30_4kHz,pct_of_test,room_types
T30 <= 3.5s (VAD valid),116,1.38,1.038,68.6,"bagno, studio, teatro, biblioteca, camera, aula, ufficio"
T30 > 3.5s (VAD limit),53,5.083,2.872,31.4,"garage, aula, ufficio, ristorante, biblioteca"
