file_audio;room_type;volume_m3;t30_1000Hz;t30_2000Hz;t30_4000Hz;t30_broadband
aula_variants_150/aula_081.wav;aula;180.752;5.665;3.593;2.985;3.65
aula_variants_150/aula_082.wav;aula;177.109;5.797;4.046;2.907;4.088
aula_variants_150/aula_083.wav;aula;174.565;5.202;3.999;2.381;4.01
aula_variants_150/aula_084.wav;aula;224.431;5.501;5.278;3.016;4.638
aula_variants_150/aula_085.wav;aula;192.409;2.898;2.918;2.786;2.826
aula_variants_150/aula_086.wav;aula;154.475;2.003;2.406;2.392;1.994
aula_variants_150/aula_087.wav;aula;199.24;4.879;4.201;2.415;3.637
aula_variants_150/aula_088.wav;aula;219.501;5.797;5.559;2.839;5.084
aula_variants_150/aula_089.wav;aula;161.167;3.665;2.367;2.18;2.228
aula_variants_150/aula_090.wav;aula;213.395;4.684;4.218;3.841;4.267
aula_variants_150/aula_091.wav;aula;180.418;4.105;3.586;2.63;3.509
aula_variants_150/aula_092.wav;aula;178.382;5.263;4.65;3.089;4.142
aula_variants_150/aula_093.wav;aula;210.595;4.274;4.3;2.193;2.201
aula_variants_150/aula_094.wav;aula;218.294;4.384;3.395;2.202;2.596
aula_variants_150/aula_095.wav;aula;190.603;5.363;4.308;2.817;4.844
aula_variants_150/aula_096.wav;aula;225.676;1.47;1.444;1.439;1.457
aula_variants_150/aula_097.wav;aula;215.251;5.057;4.304;2.577;3.117
aula_variants_150/aula_098.wav;aula;221.427;2.228;2.217;1.878;2.222
aula_variants_150/aula_099.wav;aula;204.593;6.073;5.092;2.894;4.937
aula_variants_150/aula_100.wav;aula;191.702;6.201;5.463;3.551;5.508
aula_variants_150/aula_101.wav;aula;173.263;5.015;5.469;2.623;4.311
aula_variants_150/aula_102.wav;aula;218.795;5.941;5.277;3.507;5.719
aula_variants_150/aula_103.wav;aula;179.797;3.021;3.065;2.691;2.81
aula_variants_150/aula_104.wav;aula;229.695;5.192;3.927;2.642;4.135
aula_variants_150/aula_105.wav;aula;218.527;5.97;3.857;2.446;3.948
aula_variants_150/aula_106.wav;aula;212.918;4.661;3.382;3.231;3.449
aula_variants_150/aula_107.wav;aula;249.5;6.311;3.741;2.265;2.773
aula_variants_150/aula_108.wav;aula;202.75;6.322;5.499;2.109;4.419
aula_variants_150/aula_109.wav;aula;194.638;3.743;3.542;2.328;2.342
aula_variants_150/aula_110.wav;aula;223.375;2.987;2.948;2.941;2.953
aula_variants_150/aula_111.wav;aula;229.73;6.988;4.265;2.559;3.831
